Geo Point;Geo Shape;ins_nom;ins_com;ins_insee;eqt_nb;objectid;ins_id;ins_interc;ins_partic
48.7963060013,3.37169099997;"{""type"": ""Point"", ""coordinates"": [3.371690999970174, 48.79630600126094]}";CRINIERE DANS LE VENT;La Chapelle-Moutils;77093;4;1;77093000;des Deux Morin;Non
48.8618100009,2.34678999983;"{""type"": ""Point"", ""coordinates"": [2.346789999834475, 48.8618100009488]}";CENTRE D'ANIMATION LES HALLES - LE MARAIS;Paris 1er Arrondissement;75101;1;8;750560008;Paris (T1);Non
48.866580001,2.3452700003;"{""type"": ""Point"", ""coordinates"": [2.345270000295931, 48.866580001027806]}";CENTRE SPORTIF JEAN DAME;Paris 2e  Arrondissement;75102;5;11;750560011;Paris (T1);Non
48.8663700009,2.35870999933;"{""type"": ""Point"", ""coordinates"": [2.358709999328058, 48.866370000928654]}";LYCEE TURGOT;Paris 3e  Arrondissement;75103;4;17;750560017;Paris (T1);Etablissement scolaire
48.8636600013,2.35264999972;"{""type"": ""Point"", ""coordinates"": [2.352649999724299, 48.86366000131775]}";ECOLE SAINT MARTIN;Paris 3e  Arrondissement;75103;2;23;750560023;Paris (T1);Etablissement scolaire
48.8532833345,2.3630866671;"{""type"": ""Point"", ""coordinates"": [2.363086667096206, 48.85328333445991]}";TEP NEUVE SAINT PIERRE;Paris 4e  Arrondissement;75104;3;27;750560027;Paris (T1);Non
48.8526900013,2.36088000057;"{""type"": ""Point"", ""coordinates"": [2.360880000572808, 48.85269000130244]}";CLUB SAINT PAUL;Paris 4e  Arrondissement;75104;1;38;750560038;Paris (T1);Non
48.8467900009,2.32581999955;"{""type"": ""Point"", ""coordinates"": [2.325819999553086, 48.84679000085697]}";LYCEE SAINT NICOLAS;Paris 6e  Arrondissement;75106;1;77;750560087;Paris (T1);Etablissement scolaire
48.8452100013,2.3288499998;"{""type"": ""Point"", ""coordinates"": [2.328849999800654, 48.84521000134561]}";LYCEE CARCADO SOISSEVAL;Paris 6e  Arrondissement;75106;1;79;750560090;Paris (T1);Etablissement scolaire
48.8571300012,2.30967999978;"{""type"": ""Point"", ""coordinates"": [2.309679999777422, 48.85713000124571]}";STUDIO MAUBOURG;Paris 7e  Arrondissement;75107;1;93;750560104;Paris (T1);Non
48.870300001,2.29996999991;"{""type"": ""Point"", ""coordinates"": [2.299969999914844, 48.8703000009894]}";PARIS YOGA;Paris 8e  Arrondissement;75108;1;109;750560123;Paris (T1);Non
48.8787760013,2.31680600098;"{""type"": ""Point"", ""coordinates"": [2.316806000978951, 48.878776001339965]}";ETABLISSEMENT FENELON;Paris 8e  Arrondissement;75108;7;117;750560133;Paris (T1);Non
48.8758100007,2.32804999965;"{""type"": ""Point"", ""coordinates"": [2.328049999647607, 48.87581000073963]}";CERCLE DE LA FORME SAINT LAZARE;Paris 9e  Arrondissement;75109;5;134;750560153;Paris (T1);Non
48.8774183346,2.36753000086;"{""type"": ""Point"", ""coordinates"": [2.367530000856707, 48.87741833460247]}";CENTRE SPORTIF DE LA GRANGE AUX BELLES;Paris 10e  Arrondissement;75110;8;146;750560168;Paris (T1);Non
48.8760500008,2.36320999976;"{""type"": ""Point"", ""coordinates"": [2.363209999755172, 48.87605000081872]}";TEP VERDUN;Paris 10e  Arrondissement;75110;2;151;750560173;Paris (T1);Non
48.8711900009,2.35222999942;"{""type"": ""Point"", ""coordinates"": [2.352229999421502, 48.871190000907056]}";LES TEMPS DU CORPS;Paris 10e  Arrondissement;75110;3;153;750560175;Paris (T1);Non
48.8541100006,2.37703000027;"{""type"": ""Point"", ""coordinates"": [2.377030000271196, 48.854110000591874]}";TEP BULLOURDE;Paris 11e  Arrondissement;75111;1;167;750560195;Paris (T1);Non
48.8543666674,2.39295999855;"{""type"": ""Point"", ""coordinates"": [2.39295999854878, 48.85436666742098]}";CENTRE SPORTIF PHILIPPE AUGUSTE;Paris 11e  Arrondissement;75111;4;169;750560197;Paris (T1);Non
48.8615500013,2.38730999979;"{""type"": ""Point"", ""coordinates"": [2.387309999794998, 48.86155000125932]}";BOULODROME DE MENILMONTANT;Paris 11e  Arrondissement;75111;1;185;750560222;Paris (T1);Non
48.8613000015,2.38725499934;"{""type"": ""Point"", ""coordinates"": [2.387254999339177, 48.86130000149345]}";TEP DE MENILMONTANT;Paris 11e  Arrondissement;75111;5;186;750560223;Paris (T1);Non
48.853320001,2.38184999961;"{""type"": ""Point"", ""coordinates"": [2.381849999607229, 48.85332000097852]}";BOULODROME CHARRIERE;Paris 11e  Arrondissement;75111;2;189;750560226;Paris (T1);Non
48.8563000009,2.38968000059;"{""type"": ""Point"", ""coordinates"": [2.389680000588876, 48.85630000088109]}";JARDIN CHARONNE;Paris 11e  Arrondissement;75111;1;199;750560242;Paris (T1);Non
48.8519900012,2.37930999936;"{""type"": ""Point"", ""coordinates"": [2.379309999363318, 48.851990001207554]}";COLLEGE ANNE FRANCK;Paris 11e  Arrondissement;75111;2;202;750560248;Paris (T1);Etablissement scolaire
48.8391000007,2.37949000012;"{""type"": ""Point"", ""coordinates"": [2.379490000116947, 48.83910000068614]}";ACCORHOTELS ARENA POPB (ANCIENNEMENT PALAIS OMNISPORTS - PARIS BERCY);Paris 12e  Arrondissement;75112;3;218;750560265;Paris (T1);Non
48.833287501,2.40358500045;"{""type"": ""Point"", ""coordinates"": [2.403585000445997, 48.83328750101199]}";TEP CARDINAL LAVIGERIE;Paris 12e  Arrondissement;75112;4;224;750560271;Paris (T1);Non
48.8482900005,2.37720999954;"{""type"": ""Point"", ""coordinates"": [2.377209999541661, 48.848290000528515]}";TEP COTTE;Paris 12e  Arrondissement;75112;1;225;750560272;Paris (T1);Non
48.8214150012,2.46023500067;"{""type"": ""Point"", ""coordinates"": [2.460235000671752, 48.82141500117263]}";TENNIS CLUB PARISIEN DE JOINVILLE/DOMAINE DE LA FAISANDERIE;Paris 12e  Arrondissement;75112;6;240;750560287;Paris (T1);Non
48.830670001,2.35136999998;"{""type"": ""Point"", ""coordinates"": [2.3513699999778, 48.830670000983986]}";CENTRE SPORTIF AUGUSTE BLANQUI;Paris 13e  Arrondissement;75113;3;282;750560342;Paris (T1);Non
48.8322100013,2.36620999996;"{""type"": ""Point"", ""coordinates"": [2.366209999957511, 48.832210001296936]}";TEP DUNOIS;Paris 13e  Arrondissement;75113;2;290;750560350;Paris (T1);Non
48.8299800005,2.3430049995;"{""type"": ""Point"", ""coordinates"": [2.343004999503488, 48.82998000053133]}";GYMNASE JEAN PREVOST;Paris 13e  Arrondissement;75113;2;292;750560352;Paris (T1);Non
48.8199100013,2.34504000017;"{""type"": ""Point"", ""coordinates"": [2.345040000170695, 48.819910001260666]}";GYMNASE KELLERMANN;Paris 13e  Arrondissement;75113;1;294;750560354;Paris (T1);Non
48.8275700005,2.35224999933;"{""type"": ""Point"", ""coordinates"": [2.352249999325672, 48.82757000051592]}";TERRAIN DE PETANQUE;Paris 13e  Arrondissement;75113;1;305;750560369;Paris (T1);Non
48.8275700005,2.3594899996;"{""type"": ""Point"", ""coordinates"": [2.359489999603265, 48.82757000050779]}";SQUARE DE CHOISY;Paris 13e  Arrondissement;75113;1;306;750560371;Paris (T1);Non
48.827930001,2.34399999993;"{""type"": ""Point"", ""coordinates"": [2.343999999933557, 48.82793000098181]}";FRANCE BUDO CLUB;Paris 13e  Arrondissement;75113;2;312;750560383;Paris (T1);Non
48.8310000009,2.3699800005;"{""type"": ""Point"", ""coordinates"": [2.36998000049541, 48.83100000087178]}";SQUARE HELOISE ET ABELARD;Paris 13e  Arrondissement;75113;1;313;750560384;Paris (T1);Non
48.8236100011,2.34842000019;"{""type"": ""Point"", ""coordinates"": [2.348420000187209, 48.823610001083814]}";ECOLE SAINTE ANNE SAINTE MARIE;Paris 13e  Arrondissement;75113;1;323;750560397;Paris (T1);Etablissement scolaire
48.8283200008,2.37767999933;"{""type"": ""Point"", ""coordinates"": [2.377679999333317, 48.82832000084335]}";COLLEGE THOMAS MANN;Paris 13e  Arrondissement;75113;1;330;750560404;Paris (T1);Etablissement scolaire
48.830110001,2.32961000015;"{""type"": ""Point"", ""coordinates"": [2.32961000015304, 48.830110000965334]}";CERCLE DES ARTS MARTIAUX;Paris 14e  Arrondissement;75114;1;332;750560407;Paris (T1);Non
48.8381080009,2.30253599949;"{""type"": ""Point"", ""coordinates"": [2.302535999492726, 48.83810800091035]}";SALLE DE SPORT ASPTT;Paris 15e  Arrondissement;75115;2;380;750560464;Paris (T1);Non
48.8308000007,2.30577999984;"{""type"": ""Point"", ""coordinates"": [2.305779999841215, 48.83080000068444]}";TEP DU BESSIN BOCAGE;Paris 15e  Arrondissement;75115;2;407;750560494;Paris (T1);Non
48.8365000006,2.31017000049;"{""type"": ""Point"", ""coordinates"": [2.310170000489268, 48.836500000566254]}";GYMNASE FALGUIERE;Paris 15e  Arrondissement;75115;1;413;750560501;Paris (T1);Non
48.8319000006,2.29317000046;"{""type"": ""Point"", ""coordinates"": [2.293170000462243, 48.83190000063739]}";GYMNASE OLIVIER DE SERRES;Paris 15e  Arrondissement;75115;1;417;750560505;Paris (T1);Non
48.8386000005,2.30461999994;"{""type"": ""Point"", ""coordinates"": [2.304619999940495, 48.83860000049576]}";TEP PAUL BARRUEL;Paris 15e  Arrondissement;75115;1;418;750560506;Paris (T1);Non
48.8406000006,2.31299000009;"{""type"": ""Point"", ""coordinates"": [2.312990000091633, 48.840600000575655]}";LYCEE SAINT NICOLAS 1;Paris 15e  Arrondissement;75115;1;424;750560512;Paris (T1);Etablissement scolaire
48.8463000005,2.28235000023;"{""type"": ""Point"", ""coordinates"": [2.282350000225491, 48.846300000547686]}";COLLEGE GUILLAUME APPOLINAIRE;Paris 15e  Arrondissement;75115;1;431;750560522;Paris (T1);Etablissement scolaire
48.8577400007,2.2627900002;"{""type"": ""Point"", ""coordinates"": [2.262790000204358, 48.8577400007211]}";PISCINE MUNICIPALE D'AUTEUIL;Paris 16e  Arrondissement;75116;2;453;750560547;Paris (T1);Piscine
48.8679806016,2.2718224003;"{""type"": ""Point"", ""coordinates"": [2.271822400304919, 48.86798060156534]}";CENTRE SPORTIF HENRY MONTHERLANT;Paris 16e  Arrondissement;75116;10;459;750560553;Paris (T1);Piscine
48.8646457796,2.26885566422;"{""type"": ""Point"", ""coordinates"": [2.26885566421886, 48.86464577955557]}";STADE PORTE DE LA MUETTE;Paris 16e  Arrondissement;75116;10;461;750560555;Paris (T1);Non
48.8576000045,2.26026252063;"{""type"": ""Point"", ""coordinates"": [2.260262520633684, 48.857600004528535]}";TENNIS CLUB DU XVIEME;Paris 16e  Arrondissement;75116;12;474;750560568;Paris (T1);Non
48.8476000013,2.27485999988;"{""type"": ""Point"", ""coordinates"": [2.27485999987702, 48.84760000132025]}";LYCEE JEAN BAPTISTE SAY;Paris 16e  Arrondissement;75116;3;504;750560608;Paris (T1);Etablissement scolaire
48.8561000006,2.27107999986;"{""type"": ""Point"", ""coordinates"": [2.271079999858833, 48.85610000062677]}";HEALTHCITY PARIS XVI;Paris 16e  Arrondissement;75116;4;511;750560615;Paris (T1);Non
48.8830220007,2.32419199968;"{""type"": ""Point"", ""coordinates"": [2.324191999679163, 48.883022000658066]}";CERCLES DE LA FORME BATIGNOLLES;Paris 17e  Arrondissement;75117;5;531;750560637;Paris (T1);Non
48.8948000011,2.31543999941;"{""type"": ""Point"", ""coordinates"": [2.315439999406499, 48.89480000114657]}";ECOLE DANIEL PARISET;Paris 17e  Arrondissement;75117;2;533;750560640;Paris (T1);Etablissement scolaire
48.8864000011,2.32463000051;"{""type"": ""Point"", ""coordinates"": [2.324630000514801, 48.88640000110041]}";SQUARE HELENE;Paris 17e  Arrondissement;75117;1;543;750560653;Paris (T1);Non
48.8789000012,2.2908200003;"{""type"": ""Point"", ""coordinates"": [2.290820000303173, 48.878900001235884]}";COLLEGE ANDRE MALRAUX;Paris 17e  Arrondissement;75117;2;552;750560662;Paris (T1);Etablissement scolaire
48.8976000005,2.3364499994;"{""type"": ""Point"", ""coordinates"": [2.336449999397029, 48.897600000478874]}";SALLES DE SPORTS NEY;Paris 18e  Arrondissement;75118;2;571;750560683;Paris (T1);Non
48.8963000014,2.34309999937;"{""type"": ""Point"", ""coordinates"": [2.34309999936754, 48.89630000136048]}";SQUARE SAINTE HELENE;Paris 18e  Arrondissement;75118;1;588;750560704;Paris (T1);Non
48.8986000009,2.33096000038;"{""type"": ""Point"", ""coordinates"": [2.330960000383141, 48.898600000901176]}";HOPITAL BICHAT - APSAP;Paris 18e  Arrondissement;75118;2;589;750560705;Paris (T1);Non
48.8898000008,2.3984249997;"{""type"": ""Point"", ""coordinates"": [2.39842499970261, 48.88980000079964]}";TENNIS DES SEPT ARPENTS;Paris 19e  Arrondissement;75119;3;604;750560721;Paris (T1);Non
48.8757000011,2.37660999997;"{""type"": ""Point"", ""coordinates"": [2.376609999970341, 48.875700001082784]}";CENTRE SPORTIF ECOLE ATLAS;Paris 19e  Arrondissement;75119;2;611;750560728;Paris (T1);Non
48.8928000013,2.38048999977;"{""type"": ""Point"", ""coordinates"": [2.380489999773125, 48.892800001306114]}";ENJOY BY FKC;Paris 19e  Arrondissement;75119;4;629;750560746;Paris (T1);Non
48.8865500011,2.39888499847;"{""type"": ""Point"", ""coordinates"": [2.398884998466919, 48.88655000106471]}";COLLEGE GEORGES ROUAULT;Paris 19e  Arrondissement;75119;2;654;750560777;Paris (T1);Etablissement scolaire
48.8574000008,2.39914000027;"{""type"": ""Point"", ""coordinates"": [2.399140000268893, 48.85740000075055]}";CMG SPORT CLUB;Paris 20e  Arrondissement;75120;4;657;750560780;Paris (T1);Non
48.8695000007,2.41092000001;"{""type"": ""Point"", ""coordinates"": [2.410920000005377, 48.869500000668175]}";GYMNASE LE VAU;Paris 20e  Arrondissement;75120;1;667;750560791;Paris (T1);Non
48.8589000005,2.41170000044;"{""type"": ""Point"", ""coordinates"": [2.411700000437387, 48.858900000494096]}";BASSIN ECOLE LOUIS LUMIERE;Paris 20e  Arrondissement;75120;1;668;750560792;Paris (T1);Non
48.8712000009,2.40797999998;"{""type"": ""Point"", ""coordinates"": [2.407979999983396, 48.87120000089364]}";DOJO TENSHIN;Paris 20e  Arrondissement;75120;1;689;750560816;Paris (T1);Non
48.8537000007,2.40521999966;"{""type"": ""Point"", ""coordinates"": [2.405219999660144, 48.85370000070315]}";FAIR PLAY SPORT 20EME (DOJO UNIVERSEL);Paris 20e  Arrondissement;75120;1;690;750560817;Paris (T1);Non
48.8767000012,2.40533000048;"{""type"": ""Point"", ""coordinates"": [2.405330000475674, 48.87670000115982]}";EREA EDITH PIAF;Paris 20e  Arrondissement;75120;1;709;750560850;Paris (T1);Non
48.8699000008,2.38933999983;"{""type"": ""Point"", ""coordinates"": [2.38933999982992, 48.8699000008444]}";COLLEGE JEAN BAPTISTE CLEMENT;Paris 20e  Arrondissement;75120;1;715;750560856;Paris (T1);Etablissement scolaire
48.8442120006,2.3882759999;"{""type"": ""Point"", ""coordinates"": [2.388275999895437, 48.84421200059038]}";CENTRE D'ANIMATION MONTGALLET;Paris 12e  Arrondissement;75112;1;730;750560878;Paris (T1);Non
48.8693100012,2.33453000036;"{""type"": ""Point"", ""coordinates"": [2.334530000361825, 48.86931000122259]}";L'USINE;Paris 2e  Arrondissement;75102;6;733;750560884;Paris (T1);Non
48.8460990005,2.38224600043;"{""type"": ""Point"", ""coordinates"": [2.3822460004345, 48.84609900050209]}";HEALTHCITY PARIS CROZATIER;Paris 12e  Arrondissement;75112;3;782;750560939;Paris (T1);Non
48.8530570006,2.37029099983;"{""type"": ""Point"", ""coordinates"": [2.3702909998253, 48.85305700061352]}";CMG SPORTS CLUB PURE BASTILLE;Paris 12e  Arrondissement;75112;3;783;750560940;Paris (T1);Non
48.850086001,2.28328999984;"{""type"": ""Point"", ""coordinates"": [2.283289999839132, 48.85008600101568]}";BLUE FITNESS EIFFEL;Paris 15e  Arrondissement;75115;2;801;750560958;Paris (T1);Non
48.833713001,2.42481100004;"{""type"": ""Point"", ""coordinates"": [2.424811000042778, 48.83371300097774]}";PARCOURS SPORTIF DAUMESNIL;Paris 12e  Arrondissement;75112;1;803;750560960;Paris (T1);Non
48.8664750012,2.36299099941;"{""type"": ""Point"", ""coordinates"": [2.362990999407982, 48.86647500124068]}";STUDIO YOGA REPUBLIQUE;Paris 3e  Arrondissement;75103;1;804;750560961;Paris (T1);Non
48.8625100005,2.38016999942;"{""type"": ""Point"", ""coordinates"": [2.380169999419288, 48.86251000046817]}";PARIS COACH;Paris 11e  Arrondissement;75111;1;831;750560988;Paris (T1);Non
48.8247100006,2.36444999977;"{""type"": ""Point"", ""coordinates"": [2.364449999770485, 48.82471000063208]}";GIGAGYM PARIS 13;Paris 13e  Arrondissement;75113;1;847;750561006;Paris (T1);Non
48.8340200013,2.35026999958;"{""type"": ""Point"", ""coordinates"": [2.350269999580282, 48.83402000131667]}";SQUARE RENE LE GALL;Paris 13e  Arrondissement;75113;1;852;750561011;Paris (T1);Non
48.825850001,2.37636999992;"{""type"": ""Point"", ""coordinates"": [2.376369999922546, 48.82585000098785]}";CENTRE D'ANIMATION OUDINE;Paris 13e  Arrondissement;75113;1;853;750561012;Paris (T1);Non
48.9193840066,2.72439398894;"{""type"": ""Point"", ""coordinates"": [2.724393988944207, 48.91938400660836]}";STADE;Annet-sur-Marne;77005;6;866;770050004;Plaines et Monts de France;Complexe sportif
48.919670001,2.71268999997;"{""type"": ""Point"", ""coordinates"": [2.712689999965793, 48.91967000103434]}";SILHOUETTE ET BIEN-ETRE;Annet-sur-Marne;77005;1;867;770050005;Plaines et Monts de France;Non
48.9802430006,3.02578499956;"{""type"": ""Point"", ""coordinates"": [3.02578499956187, 48.98024300057256]}";CITY STADE;Armentières-en-Brie;77008;1;871;770080001;Pays de l'Ourcq;Non
48.1907250008,2.59163799996;"{""type"": ""Point"", ""coordinates"": [2.591637999959812, 48.19072500078708]}";TERRAIN DE PETANQUE DU BUSSEAUX;Aufferville;77011;1;878;770110003;Gâtinais Val de Loing;Non
48.6789090006,3.19183300065;"{""type"": ""Point"", ""coordinates"": [3.191833000648458, 48.67890900060378]}";TERRAINS DE TENNIS;Bannost-Villegagnon;77020;2;909;770200003;Provinois;Non
48.414005018,3.24707251687;"{""type"": ""Point"", ""coordinates"": [3.247072516871338, 48.41400501803222]}";ENSEMBLE SPORTIF DU VAL DE SEINE;Bray-sur-Seine;77051;7;960;770510002;Bassée Montois;Complexe sportif
48.6923333346,2.61920333383;"{""type"": ""Point"", ""coordinates"": [2.619203333834058, 48.692333334642846]}";GYMNASE PASTEUR;Brie-Comte-Robert;77053;3;971;770530008;L'Orée de la Brie;Non
48.6941500007,2.59604000044;"{""type"": ""Point"", ""coordinates"": [2.596040000443072, 48.694150000660926]}";TERRAIN DE PETANQUE;Brie-Comte-Robert;77053;1;973;770530012;L'Orée de la Brie;Non
48.3451000009,3.01958000023;"{""type"": ""Point"", ""coordinates"": [3.019580000226368, 48.345100000920816]}";SALLE DE SPORTS;La Brosse-Montceaux;77054;1;984;770540001;Pays de Montereau;Non
48.8818250009,2.62988500042;"{""type"": ""Point"", ""coordinates"": [2.629885000418377, 48.88182500093985]}";PARC DES DEPORTES;Brou-sur-Chantereine;77055;2;987;770550003;Paris – Vallée de la Marne;Non
48.2871600013,2.42884500117;"{""type"": ""Point"", ""coordinates"": [2.428845001167534, 48.287160001341384]}";TERRAIN MULTISPORTS;Buthiers;77060;2;1003;770600003;Pays de Nemours;Non
48.4578033347,2.60280666567;"{""type"": ""Point"", ""coordinates"": [2.602806665667438, 48.45780333472819]}";ÉCURIES DE LA ROCHE MOREAU;Chailly-en-Bière;77069;3;1021;770690004;Pays de Fontainebleau;Non
48.7903900009,3.12533999987;"{""type"": ""Point"", ""coordinates"": [3.125339999873795, 48.79039000090751]}";ÉCOLE GEOFFROY ST HILAIRE;Chailly-en-Brie;77070;1;1023;770700002;Pays de Coulommiers;Etablissement scolaire
48.8892600012,2.76621999964;"{""type"": ""Point"", ""coordinates"": [2.766219999635231, 48.88926000118233]}";TERRAIN DE FOOTBALL;Chalifert;77075;1;1028;770750002;Marne et Gondoire;Non
48.9992000008,3.14069999994;"{""type"": ""Point"", ""coordinates"": [3.140699999938056, 48.99920000079402]}";CENTRE ÉQUESTRE DE ROUGET;Chamigny;77078;2;1035;770780004;Pays Fertois;Non
48.395757782,2.79227555759;"{""type"": ""Point"", ""coordinates"": [2.792275557594623, 48.39575778201002]}";STADE PAUL HEBRAS;Champagne-sur-Seine;77079;13;1038;770790003;Moret Seine et Loing;Non
48.3895100013,2.80111999973;"{""type"": ""Point"", ""coordinates"": [2.801119999728381, 48.389510001281415]}";CLSH ET PETANQUE;Champagne-sur-Seine;77079;1;1039;770790004;Moret Seine et Loing;Non
48.3990300012,2.80995000044;"{""type"": ""Point"", ""coordinates"": [2.809950000440548, 48.39903000124855]}";PARCOURS LEMURIEN DE GRAVILLE;Champagne-sur-Seine;77079;1;1041;770790006;Moret Seine et Loing;Non
48.8549350642,2.59263499676;"{""type"": ""Point"", ""coordinates"": [2.592634996757037, 48.85493506419588]}";GYMNASE JEAN JAURES;Champs-sur-Marne;77083;3;1045;770830001;Paris – Vallée de la Marne;Non
48.8547500025,2.58827750351;"{""type"": ""Point"", ""coordinates"": [2.588277503505805, 48.854750002529585]}";STADE LIONEL HURTEBIZE;Champs-sur-Marne;77083;6;1046;770830002;Paris – Vallée de la Marne;Non
48.8512266693,2.58602999818;"{""type"": ""Point"", ""coordinates"": [2.586029998175122, 48.85122666930228]}";COMPLEXE DES PYRAMIDES;Champs-sur-Marne;77083;7;1047;770830003;Paris – Vallée de la Marne;Non
48.8491450007,2.58183999957;"{""type"": ""Point"", ""coordinates"": [2.581839999569696, 48.84914500072047]}";GYMNASE DU NESLES;Champs-sur-Marne;77083;3;1048;770830004;Paris – Vallée de la Marne;Non
48.8476000008,2.58631000007;"{""type"": ""Point"", ""coordinates"": [2.58631000007239, 48.84760000075538]}";GYMNASE DU BOIS DE GRACE;Champs-sur-Marne;77083;3;1049;770830005;Paris – Vallée de la Marne;Non
48.9696550006,2.76518499977;"{""type"": ""Point"", ""coordinates"": [2.76518499976684, 48.96965500061841]}";STADE;Charny;77095;4;1081;770950001;Plaines et Monts de France;Non
48.4890300007,2.70581499957;"{""type"": ""Point"", ""coordinates"": [2.705814999573476, 48.48903000070259]}";COMPLEXE SPORTIF ET SOCIO EDUCATIF MUNICIPAL;Chartrettes;77096;2;1083;770960001;Pays de Fontainebleau;Non
48.7434900011,3.27061000049;"{""type"": ""Point"", ""coordinates"": [3.270610000486106, 48.743490001092034]}";TERRAIN DE FOOTBALL;Chartronges;77097;1;1085;770970001;des Deux Morin;Non
48.6653500006,2.84062499958;"{""type"": ""Point"", ""coordinates"": [2.840624999576072, 48.665350000628095]}";FOYER RURAL;Chaumes-en-Brie;77107;2;1105;771070003;Brie des Rivières et Châteaux;Non
48.8907200015,2.61308999949;"{""type"": ""Point"", ""coordinates"": [2.613089999489434, 48.89072000147877]}";GYMNASE JULIEN MARQUAY;Chelles;77108;2;1110;771080005;Paris – Vallée de la Marne;Non
48.8957700018,2.6031050059;"{""type"": ""Point"", ""coordinates"": [2.603105005904213, 48.895770001801]}";AERODROME CHELLES LE PIN;Chelles;77108;2;1129;771080025;Paris – Vallée de la Marne;Aérodrome/aéroport
48.8775987707,2.58902474963;"{""type"": ""Point"", ""coordinates"": [2.589024749632306, 48.8775987706612]}";GYMNASE HENRI BIANCO;Chelles;77108;2;1130;771080026;Paris – Vallée de la Marne;Complexe sportif
48.884989006,2.57794000058;"{""type"": ""Point"", ""coordinates"": [2.577940000575381, 48.88498900597463]}";CENTRE NAUTIQUE ROBERT PREAULT;Chelles;77108;3;1132;771080028;Paris – Vallée de la Marne;Piscine
48.9468000006,2.68721000009;"{""type"": ""Point"", ""coordinates"": [2.68721000008858, 48.9468000005916]}";BOULODROME;Claye-Souilly;77118;1;1153;771180007;Roissy Pays de France;Non
48.8376200013,2.67296000125;"{""type"": ""Point"", ""coordinates"": [2.672960001247762, 48.83762000125979]}";ENSEMBLE SPORTIF DE PLEIN AIR LES SAULES;Collégien;77121;2;1160;771210002;Marne et Gondoire;Non
48.8395990009,2.67492599985;"{""type"": ""Point"", ""coordinates"": [2.67492599985433, 48.83959900089724]}";PARCOURS DE SANTE;Collégien;77121;1;1163;771210006;Marne et Gondoire;Non
48.6726000082,2.55689599612;"{""type"": ""Point"", ""coordinates"": [2.556895996120611, 48.67260000824879]}";PARC DES SPORTS ALAIN MIMOUN;Combs-la-Ville;77122;19;1169;771220004;Grand Paris Sud Seine Essonne Sénart;Complexe sportif
48.8592000008,2.72465000053;"{""type"": ""Point"", ""coordinates"": [2.724650000532351, 48.85920000078787]}";CLUB DE TENNIS;Conches-sur-Gondoire;77124;5;1186;771240003;Marne et Gondoire;Non
48.6750000009,2.69636000043;"{""type"": ""Point"", ""coordinates"": [2.696360000432279, 48.675000000907595]}";TERRAIN DE PÉTANQUE;Coubert;77127;1;1196;771270002;Brie des Rivières et Châteaux;Non
48.8207050011,3.09257999954;"{""type"": ""Point"", ""coordinates"": [3.092579999539543, 48.82070500113951]}";COMPLEXE SPORTIF P. VOITURET;Coulommiers;77131;4;1203;771310002;Pays de Coulommiers;Complexe sportif
48.8126600013,3.07337000002;"{""type"": ""Point"", ""coordinates"": [3.073370000023915, 48.81266000133758]}";COMPLEXE CULTUREL ET SPORTIF DE LA SUCRERIE;Coulommiers;77131;2;1208;771310015;Pays de Coulommiers;Non
48.8245100009,3.09338000013;"{""type"": ""Point"", ""coordinates"": [3.09338000012698, 48.82451000092838]}";LYCEE GEORGES CORMIER;Coulommiers;77131;2;1212;771310021;Pays de Coulommiers;Etablissement scolaire
48.867810001,2.79527000039;"{""type"": ""Point"", ""coordinates"": [2.795270000385805, 48.86781000095352]}";TERRAIN MIXTE DISNEY;Coupvray;77132;1;1222;771320004;Val d'Europe agglomération;Non
48.6476600008,2.96372999966;"{""type"": ""Point"", ""coordinates"": [2.96372999965647, 48.64766000081518]}";CITY-STADE;Courpalay;77135;1;1228;771350005;Val Briard;Non
48.9159900011,2.60266999933;"{""type"": ""Point"", ""coordinates"": [2.602669999333108, 48.915990001142156]}";GYMNASE DE LA DHUYS;Courtry;77139;1;1231;771390002;Paris – Vallée de la Marne;Non
48.9130800009,2.59846999944;"{""type"": ""Point"", ""coordinates"": [2.598469999438256, 48.91308000091631]}";ECOLE PRIMAIRE GEORGES BRASSENS;Courtry;77139;1;1232;771390004;Paris – Vallée de la Marne;Etablissement scolaire
48.9739000009,2.8688599996;"{""type"": ""Point"", ""coordinates"": [2.868859999599355, 48.97390000090792]}";TERRAIN DE TENNIS;Crégy-lès-Meaux;77143;1;1244;771430002;Pays de Meaux;Non
48.5149600009,2.63283000038;"{""type"": ""Point"", ""coordinates"": [2.632830000377703, 48.51496000088547]}";SALLE DE TENNIS DE TABLE JACQUELINE AURIOL;Dammarie-les-Lys;77152;1;1270;771520004;Melun Val de Seine;Non
48.5189000011,2.61520999995;"{""type"": ""Point"", ""coordinates"": [2.615209999951392, 48.51890000106246]}";BASE CANOE-KAYAK;Dammarie-les-Lys;77152;1;1279;771520015;Melun Val de Seine;Non
48.5188600005,2.62254999962;"{""type"": ""Point"", ""coordinates"": [2.622549999616972, 48.51886000052242]}";KARTING BUFFO;Dammarie-les-Lys;77152;1;1283;771520020;Melun Val de Seine;Non
49.0550500008,2.67617000048;"{""type"": ""Point"", ""coordinates"": [2.6761700004849, 49.055050000789166]}";GYMNASE MAURICE LEROZIER;Dammartin-en-Goële;77153;1;1285;771530002;Roissy Pays de France;Non
