Geo Point;Geo Shape;ins_nom;ins_com;ins_insee;eqt_nb;objectid;ins_id;ins_interc;ins_partic
48.8430000006,2.3122899996;"{""type"": ""Point"", ""coordinates"": [2.312289999602535, 48.84300000063544]}";ETABLISSEMENT SCOLAIRE BUFFON;Paris 15e  Arrondissement;75115;5;426;750560514;Paris (T1);Etablissement scolaire
48.8387000007,2.29078999989;"{""type"": ""Point"", ""coordinates"": [2.290789999888196, 48.83870000072957]}";U.F.R STAPS;Paris 15e  Arrondissement;75115;6;441;750560535;Paris (T1);Etablissement scolaire
48.8370900013,2.26393999981;"{""type"": ""Point"", ""coordinates"": [2.263939999810288, 48.8370900013104]}";TENNIS NIOX;Paris 16e  Arrondissement;75116;4;448;750560542;Paris (T1);Non
48.8560200013,2.27352999957;"{""type"": ""Point"", ""coordinates"": [2.273529999566935, 48.856020001349464]}";SALLE DE SPORTS DES BAUCHES;Paris 16e  Arrondissement;75116;1;456;750560550;Paris (T1);Non
48.8542700006,2.27848999972;"{""type"": ""Point"", ""coordinates"": [2.278489999715907, 48.85427000060306]}";LYCÉE SAINT JEAN DE PASSY;Paris 16e  Arrondissement;75116;5;463;750560557;Paris (T1);Etablissement scolaire
48.8653830009,2.28976000055;"{""type"": ""Point"", ""coordinates"": [2.289760000547569, 48.865383000853775]}";SARL GYM ET DANSE DU TROCADERO;Paris 16e  Arrondissement;75116;1;466;750560560;Paris (T1);Non
48.8699190007,2.27485100067;"{""type"": ""Point"", ""coordinates"": [2.274851000670248, 48.86991900071358]}";TENNIS FRANCOIS DE LABOUCHERE;Paris 16e  Arrondissement;75116;3;470;750560564;Paris (T1);Non
48.8414500005,2.25305000052;"{""type"": ""Point"", ""coordinates"": [2.253050000515506, 48.84145000049873]}";PARC DES PRINCES;Paris 16e  Arrondissement;75116;1;489;750560585;Paris (T1);Non
48.8592803344,2.28579166643;"{""type"": ""Point"", ""coordinates"": [2.285791666426447, 48.85928033442811]}";LYCEE SAINT LOUIS DE GONZAGUES;Paris 16e  Arrondissement;75116;4;496;750560599;Paris (T1);Etablissement scolaire
48.8898000011,2.30627000039;"{""type"": ""Point"", ""coordinates"": [2.306270000386832, 48.88980000107006]}";RACING CLUB DE France 1;Paris 17e  Arrondissement;75117;3;535;750560642;Paris (T1);Non
48.882500001,2.32170000018;"{""type"": ""Point"", ""coordinates"": [2.321700000184562, 48.88250000103185]}";I.U.F.M;Paris 17e  Arrondissement;75117;4;555;750560665;Paris (T1);Etablissement scolaire
48.8870000007,2.34149999985;"{""type"": ""Point"", ""coordinates"": [2.341499999850183, 48.88700000071823]}";GYMNASE LEPIC;Paris 18e  Arrondissement;75118;1;570;750560682;Paris (T1);Non
48.8850300011,2.34434999958;"{""type"": ""Point"", ""coordinates"": [2.344349999576172, 48.88503000112357]}";GYMNASE RONSARD;Paris 18e  Arrondissement;75118;3;572;750560684;Paris (T1);Non
48.892400001,2.33713000005;"{""type"": ""Point"", ""coordinates"": [2.337130000047265, 48.89240000099486]}";SQUASH CLUB MONTMARTRE;Paris 18e  Arrondissement;75118;5;578;750560692;Paris (T1);Non
48.8938000013,2.33197000007;"{""type"": ""Point"", ""coordinates"": [2.331970000065996, 48.89380000134094]}";ACADEMIE DES ARTS CHOREGRAPHIQUES;Paris 18e  Arrondissement;75118;1;579;750560693;Paris (T1);Non
48.8903000012,2.34068999956;"{""type"": ""Point"", ""coordinates"": [2.340689999560924, 48.890300001182815]}";COLLEGE YVONNE LETAC;Paris 18e  Arrondissement;75118;1;592;750560709;Paris (T1);Etablissement scolaire
48.8921000013,2.33903000019;"{""type"": ""Point"", ""coordinates"": [2.33903000018691, 48.89210000128291]}";SQUARE LEON SERPOLLET;Paris 18e  Arrondissement;75118;1;603;750560720;Paris (T1);Non
48.885275001,2.37925899949;"{""type"": ""Point"", ""coordinates"": [2.379258999489394, 48.88527500095332]}";GYMNASE JEAN JAURES;Paris 19e  Arrondissement;75119;3;619;750560736;Paris (T1);Non
48.8863000006,2.38026999979;"{""type"": ""Point"", ""coordinates"": [2.380269999791724, 48.88630000059721]}";GYMNASE TANDOU;Paris 19e  Arrondissement;75119;2;625;750560742;Paris (T1);Non
48.8926000007,2.37836000045;"{""type"": ""Point"", ""coordinates"": [2.378360000445176, 48.89260000074454]}";SACAMP;Paris 19e  Arrondissement;75119;1;628;750560745;Paris (T1);Non
48.8792000011,2.37048999964;"{""type"": ""Point"", ""coordinates"": [2.370489999642772, 48.879200001124744]}";ANJALIOM;Paris 19e  Arrondissement;75119;1;633;750560751;Paris (T1);Non
48.8874000009,2.37006000033;"{""type"": ""Point"", ""coordinates"": [2.370060000328874, 48.88740000086409]}";COLLEGE G. MELIES;Paris 19e  Arrondissement;75119;1;642;750560761;Paris (T1);Etablissement scolaire
48.881400001,2.3746400002;"{""type"": ""Point"", ""coordinates"": [2.374640000198617, 48.88140000100312]}";LYCEE L'INITIATIVE;Paris 19e  Arrondissement;75119;1;644;750560763;Paris (T1);Etablissement scolaire
48.8798000011,2.37628999943;"{""type"": ""Point"", ""coordinates"": [2.376289999434128, 48.879800001141355]}";ECOLE LUCIEN DE HIRCH;Paris 19e  Arrondissement;75119;2;646;750560765;Paris (T1);Etablissement scolaire
48.899000001,2.38217000006;"{""type"": ""Point"", ""coordinates"": [2.38217000005595, 48.899000001046524]}";SQUARE PETIT;Paris 19e  Arrondissement;75119;1;650;750560772;Paris (T1);Non
48.8925000007,2.37262999997;"{""type"": ""Point"", ""coordinates"": [2.372629999967611, 48.89250000074575]}";LYCEE HECTOR GUIMARD;Paris 19e  Arrondissement;75119;1;652;750560775;Paris (T1);Etablissement scolaire
48.8936000012,2.37505999982;"{""type"": ""Point"", ""coordinates"": [2.375059999819976, 48.89360000120739]}";COLLEGE EDMOND MICHELET;Paris 19e  Arrondissement;75119;3;655;750560778;Paris (T1);Etablissement scolaire
48.8589888909,2.41250110696;"{""type"": ""Point"", ""coordinates"": [2.412501106960403, 48.85898889086124]}";CENTRE SPORTIF LOUIS LUMIERE;Paris 20e  Arrondissement;75120;18;660;750560783;Paris (T1);Non
48.8657000009,2.39756999969;"{""type"": ""Point"", ""coordinates"": [2.397569999694861, 48.86570000094989]}";ESPACE OXYGENE (au niveau du 247 rue des Pyrénées);Paris 20e  Arrondissement;75120;2;677;750560803;Paris (T1);Non
48.868152001,2.38862400041;"{""type"": ""Point"", ""coordinates"": [2.388624000406786, 48.86815200103315]}";CENTRE D'ANIMATION LES AMANDIERS;Paris 20e  Arrondissement;75120;5;696;750560829;Paris (T1);Non
48.8477000007,2.40712000052;"{""type"": ""Point"", ""coordinates"": [2.407120000523684, 48.84770000074446]}";CITE SCOLAIRE HELENE BOUCHER;Paris 20e  Arrondissement;75120;7;704;750560845;Paris (T1);Etablissement scolaire
48.8580000006,2.39745000052;"{""type"": ""Point"", ""coordinates"": [2.397450000524337, 48.858000000591616]}";LYCEE CHARLES DE GAULLE;Paris 20e  Arrondissement;75120;2;708;750560849;Paris (T1);Etablissement scolaire
48.8350510008,2.30362900026;"{""type"": ""Point"", ""coordinates"": [2.30362900025559, 48.8350510008324]}";ECOLE DES SAINTS ANGES;Paris 15e  Arrondissement;75115;2;723;750560871;Paris (T1);Etablissement scolaire
48.8752500005,2.31828999963;"{""type"": ""Point"", ""coordinates"": [2.318289999630092, 48.87525000049128]}";EASY SHAPE INSTITUT;Paris 8e  Arrondissement;75108;1;725;750560873;Paris (T1);Non
48.8531000009,2.3783000004;"{""type"": ""Point"", ""coordinates"": [2.378300000400292, 48.853100000892184]}";DANSE PILATES;Paris 11e  Arrondissement;75111;2;734;750560885;Paris (T1);Non
48.8360490012,2.31240699969;"{""type"": ""Point"", ""coordinates"": [2.31240699968883, 48.83604900123203]}";CENTRE D'ANIMATION SOHANE;Paris 15e  Arrondissement;75115;2;740;750560891;Paris (T1);Non
48.8937000007,2.39464000039;"{""type"": ""Point"", ""coordinates"": [2.394640000388603, 48.8937000007158]}";CENTRE D'ANIMATION SOLIDARITÉ - ANGÈLE MERCIER;Paris 19e  Arrondissement;75119;2;742;750560893;Paris (T1);Non
48.8610000013,2.41297000007;"{""type"": ""Point"", ""coordinates"": [2.412970000068602, 48.861000001334574]}";CENTRE D'ANIMATION LOUIS LUMIERE-ANNEXE (SALLE SERPOLLET);Paris 20e  Arrondissement;75120;1;746;750560899;Paris (T1);Non
48.8446000007,2.3108699995;"{""type"": ""Point"", ""coordinates"": [2.310869999504219, 48.84460000069138]}";O'SPORT;Paris 15e  Arrondissement;75115;1;755;750560910;Paris (T1);Non
48.8712450006,2.37874999967;"{""type"": ""Point"", ""coordinates"": [2.378749999669638, 48.871245000572145]}";COMPLEXE SPORTIF ALFRED NAKACHE;Paris 20e  Arrondissement;75120;6;759;750560915;Paris (T1);Complexe sportif
48.8366900008,2.37955000061;"{""type"": ""Point"", ""coordinates"": [2.379550000614963, 48.83669000083385]}";T.E.P. BERCY;Paris 12e  Arrondissement;75112;1;760;750560916;Paris (T1);Non
48.8557130006,2.39780399965;"{""type"": ""Point"", ""coordinates"": [2.397803999651855, 48.85571300058619]}";GYMNASE CHARONNE PLANCHAT;Paris 20e  Arrondissement;75120;2;774;750560931;Paris (T1);Non
48.8672330013,2.3336939995;"{""type"": ""Point"", ""coordinates"": [2.333693999496307, 48.86723300125032]}";REEBOK CROSSFIT LOUVRES;Paris 1er Arrondissement;75101;1;775;750560932;Paris (T1);Non
48.8505830007,2.3470389998;"{""type"": ""Point"", ""coordinates"": [2.347038999803356, 48.85058300072734]}";HEALTHCITY PARIS SAINT GERMAIN DES PRES;Paris 5e  Arrondissement;75105;4;777;750560934;Paris (T1);Non
48.8341520006,2.40363700022;"{""type"": ""Point"", ""coordinates"": [2.40363700021711, 48.83415200060533]}";CROSS FIGHT;Paris 12e  Arrondissement;75112;2;793;750560950;Paris (T1);Non
48.8766300012,2.3538640005;"{""type"": ""Point"", ""coordinates"": [2.353864000502383, 48.876630001221905]}";LA MAISON DE M.A.I.;Paris 10e  Arrondissement;75110;1;796;750560953;Paris (T1);Non
48.8653850009,2.36349899945;"{""type"": ""Point"", ""coordinates"": [2.363498999446259, 48.86538500091882]}";TCHILO BODY LAB;Paris 3e  Arrondissement;75103;2;805;750560962;Paris (T1);Non
48.8741050006,2.4120709997;"{""type"": ""Point"", ""coordinates"": [2.412070999702182, 48.87410500059086]}";GYMNASE PAUL MEURICE;Paris 20e  Arrondissement;75120;4;822;750560979;Paris (T1);Non
48.8570000007,2.37760499974;"{""type"": ""Point"", ""coordinates"": [2.377604999739651, 48.857000000673075]}";L'ATELIER 3;Paris 11e  Arrondissement;75111;2;825;750560982;Paris (T1);Non
48.8572450009,2.39243500028;"{""type"": ""Point"", ""coordinates"": [2.392435000276129, 48.85724500086502]}";FITNESS PRICE;Paris 11e  Arrondissement;75111;4;826;750560983;Paris (T1);Non
48.8420300008,2.39628333323;"{""type"": ""Point"", ""coordinates"": [2.396283333234631, 48.84203000080197]}";PARIS MAMBO;Paris 12e  Arrondissement;75112;3;833;750560990;Paris (T1);Non
48.8553066679,2.39912999961;"{""type"": ""Point"", ""coordinates"": [2.399129999613297, 48.855306667902006]}";MY FITNESS STUDIO;Paris 20e  Arrondissement;75120;4;835;750560992;Paris (T1);Non
48.8350200014,2.38743999957;"{""type"": ""Point"", ""coordinates"": [2.387439999569522, 48.83502000136079]}";CENTRE SISMO LIPO;Paris 12e  Arrondissement;75112;1;843;750561002;Paris (T1);Non
48.8291000009,2.37933999999;"{""type"": ""Point"", ""coordinates"": [2.379339999990445, 48.8291000008593]}";JARDIN DES GRANDS MOULINS;Paris 13e  Arrondissement;75113;1;849;750561008;Paris (T1);Non
48.8183800012,2.35908999949;"{""type"": ""Point"", ""coordinates"": [2.359089999487918, 48.81838000123291]}";SQUARE ROBERT BAJAC;Paris 13e  Arrondissement;75113;1;850;750561009;Paris (T1);Non
48.678140001,3.35525999937;"{""type"": ""Point"", ""coordinates"": [3.355259999369614, 48.67814000102987]}";TERRAIN DE FOOTBALL;Augers-en-Brie;77012;2;880;770120001;Provinois;Non
48.8408380013,3.09556300054;"{""type"": ""Point"", ""coordinates"": [3.095563000541026, 48.84083800132441]}";MICHEL BOUQUET ÉQUITATION;Aulnoy;77013;1;881;770130001;Pays de Coulommiers;Non
48.400105001,2.72503500136;"{""type"": ""Point"", ""coordinates"": [2.72503500135948, 48.4001050010318]}";STADE DU ROCHER D'AVON;Avon;77014;3;887;770140006;Pays de Fontainebleau;Non
48.8468830009,2.8234649995;"{""type"": ""Point"", ""coordinates"": [2.823464999503723, 48.84688300093375]}";BOULODROME;Bailly-Romainvilliers;77018;1;898;770180002;Val d'Europe agglomération;Non
48.4815700008,2.70713999981;"{""type"": ""Point"", ""coordinates"": [2.707139999812569, 48.48157000078911]}";TERRAIN DE PETANQUE DE L'ECLUSE;Bois-le-Roi;77037;1;930;770370007;Pays de Fontainebleau;Non
48.526755001,2.58823200057;"{""type"": ""Point"", ""coordinates"": [2.588232000573333, 48.526755000989645]}";SALLE POLYVALENTE LA RECELLERIE;Boissise-la-Bertrand;77039;1;933;770390001;Melun Val de Seine;Non
48.5244750005,2.56951999955;"{""type"": ""Point"", ""coordinates"": [2.569519999553414, 48.5244750005084]}";SALLE DE COMBAT;Boissise-le-Roi;77040;2;937;770400005;Melun Val de Seine;Non
48.8220500011,3.13852000046;"{""type"": ""Point"", ""coordinates"": [3.138520000457934, 48.82205000112337]}";SALLE DES FÊTES;Boissy-le-Châtel;77042;1;944;770420004;Pays de Coulommiers;Non
